Status,Type,Price | Date,Address,Beds,Baths,Sqft,Lot Size Year Built $/sqft,,
Off,,,,,,,,,
,LAND,–,30 Zulaya Dr,,,,,,
Market,,4/3/19,"Irving, TX 75061",–,–,–,"8,566 sqft",– –,
Off,,,,,,,,,
,LAND,–,29 Zulaya Dr,,,,,,
Market,,4/3/19,"Irving, TX 75061",–,–,–,"7,456 sqft",–,–
Off,,,,,,,,,
,LAND,–,28 Zulaya Dr,,,,,,
Market,,4/3/19,"Irving, TX 75061",–,–,–,"7,451 sqft",–,–
,LAND,–,25 Zulaya Dr,,,,,,
Market,,2/3/21,"Irving, TX 75061",–,–,–,"7,474 sqft",–,–
,LAND,–,23 Zulaya Dr,,,,,,
Market,,1/5/21,"Irving, TX 75061",–,–,–,"6,284 sqft",–,–
,LAND,–,4 Zulaya Dr,,,,,,
Market,,3/1/21,"Irving, TX 75061",–,–,–,"6,215 sqft",–,–
,LAND,–,4448 Zahir Ct,,,,,,
Market,,2/18/16,"Irving, TX 75061",–,–,–,"8,240 sqft",–,–
,LAND,–,3927 Yogi Way,,,,,,
Market,,–,"Irving, TX 75038",–,–,–,"5,000 sqft",–,–
Off,,,,,,,,,
,LAND,–,3923 Yogi Way,,,,,,
Market,,–,"Irving, TX 75038",–,–,–,"2,500 sqft",–,–
Off,,,,,,,,,
,LAND,–,3908 Yogi Way,,,,,,
Market,,1/30/15,"Irving, TX 75038",–,–,–,"5,981 sqft",–,–
Off,,,,,,,,,
,LAND,–,30 Yogi Way,,,,,,
Market,,–,"Irving, TX 75038",–,–,–,"1,659 sqft",–,–
Off,,,,,,,,,
,LAND,–,29 Yogi Way,,,,,,
Market,,10/28/21,"Irving, TX 75038",–,–,–,"4,999 sqft",–,–
Off,,,,,,,,,
,LAND,–,28 Yogi Way,,,,,,
Market,,3/3/14,"Irving, TX 75038",–,–,–,"5,004 sqft",–,–
Off,,,,,,,,,
,LAND,–,20 Yogi Way,,,,,,
Market,,–,"Irving, TX 75038",–,–,–,"5,000 sqft",–,–
Off,,,,,,,,,
,LAND,–,15 Yogi Way,,,,,,
Market,,–,"Irving, TX 75038",–,–,–,"6,011 sqft",–,–
Off,,,,,,,,,
,LAND,–,12 Yogi Way,,,,,,
Market,,–,"Irving, TX 75038",–,–,–,"5,981 sqft",–,–
Off,,,,,,,,,
,LAND,–,8 Yogi Way,,,,,,
Market,,3/5/14,"Irving, TX 75038",–,–,–,"5,981 sqft",–,–
